Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
CFUR Electronic Playlist,05 07 2017,12:00 AM,05 07 2017,1:00 AM,FALSE,,,,TRUE
CFUR Alternative Playlist,05 08 2017,12:00 AM,05 08 2017,1:00 AM,FALSE,Alternating Current changed our lives being direct CAN be overrated sometimes after all. Alternative music gave us a choice then more choices then multiplied those choices then alternated into different genres until we couldn't keep track of them.People of Earth we have alternatives right here on CFUR 88.7FM.,,,TRUE
CFUR Indie Playlist,05 09 2017,12:00 AM,05 09 2017,1:00 AM,FALSE,All things new shiny and independently indie.,,,TRUE
CFUR Alternative Playlist,05 10 2017,12:00 AM,05 10 2017,1:00 AM,FALSE,Alternating Current changed our lives being direct CAN be overrated sometimes after all. Alternative music gave us a choice then more choices then multiplied those choices then alternated into different genres until we couldn't keep track of them.People of Earth we have alternatives right here on CFUR 88.7FM.,,,TRUE
CFUR Alternative Playlist,05 11 2017,12:00 AM,05 11 2017,1:00 AM,FALSE,Alternating Current changed our lives being direct CAN be overrated sometimes after all. Alternative music gave us a choice then more choices then multiplied those choices then alternated into different genres until we couldn't keep track of them.People of Earth we have alternatives right here on CFUR 88.7FM.,,,TRUE
CFUR Alternative Playlist,05 12 2017,12:00 AM,05 12 2017,1:00 AM,FALSE,Alternating Current changed our lives being direct CAN be overrated sometimes after all. Alternative music gave us a choice then more choices then multiplied those choices then alternated into different genres until we couldn't keep track of them.People of Earth we have alternatives right here on CFUR 88.7FM.,,,TRUE
CFUR Hip-hop Playlist,05 13 2017,12:00 AM,05 13 2017,1:00 AM,FALSE,Hip-Hop? Sure rabbits might do it but now you can too. Readyyyyyyy JUMP!,,,TRUE
In The Moshpit Archives,05 07 2017,1:00 AM,05 07 2017,3:00 AM,FALSE,,,,TRUE
Alternative Radio,05 08 2017,1:00 AM,05 08 2017,2:00 AM,FALSE,,,,TRUE
CFUR Archives 58mins - ODD,05 09 2017,1:00 AM,05 09 2017,2:00 AM,FALSE,,,,TRUE
Air Guitar Archives,05 10 2017,1:00 AM,05 10 2017,3:00 AM,FALSE,The home of Hard Rock Heavy Metal and Power-Punka-Poppa-Rolla !!!!!!!!!!!!!!!!!,,,TRUE
Air Guitar Archives,05 11 2017,1:00 AM,05 11 2017,3:00 AM,FALSE,The home of Hard Rock Heavy Metal and Power-Punka-Poppa-Rolla !!!!!!!!!!!!!!!!!,,,TRUE
CFUR Archives 58mins - ODD,05 12 2017,1:00 AM,05 12 2017,2:00 AM,FALSE,,,,TRUE
CFUR Electronic Playlist,05 13 2017,1:00 AM,05 13 2017,2:00 AM,FALSE,,,,TRUE
